"id","name","applicability","country_id/id","name@uz","name@ru"
"account_tag_bs_0110","BS Line 0110: Fixed Assets","accounts","base.uz","Balans 0110-satr: Asosiy vositalar","Баланс, стр. 0110: Основные средства"
"account_tag_bs_0120","BS Line 0120: Right-of-Use Assets","accounts","base.uz","Balans 0120-satr: Foydalanish huquqidagi aktivlar","Баланс, стр. 0120: Активы в форме права пользования"
"account_tag_bs_0130","BS Line 0130: Investment Property","accounts","base.uz","Balans 0130-satr: Investitsiya koʻchmas mulki","Баланс, стр. 0130: Инвестиционная недвижимость"
"account_tag_bs_0140","BS Line 0140: Intangible Assets","accounts","base.uz","Balans 0140-satr: Nomoddiy aktivlar","Баланс, стр. 0140: Нематериальные активы"
"account_tag_bs_0150","BS Line 0150: Long-Term Biological Assets","accounts","base.uz","Balans 0150-satr: Uzoq muddatli biologik aktivlar","Баланс, стр. 0150: Долгосрочные биологические активы"
"account_tag_bs_0160","BS Line 0160: Exploration & Evaluation Assets","accounts","base.uz","Balans 0160-satr: Geologik qidiruv va baholash aktivlari","Баланс, стр. 0160: Активы по разведке и оценке"
"account_tag_bs_0170","BS Line 0170: Trade & Other Long-Term Receivables","accounts","base.uz","Balans 0170-satr: Savdo va boshqa uzoq muddatli debitorlik qarzlar","Баланс, стр. 0170: Торговая и прочая долгосрочная дебиторская задолженность"
"account_tag_bs_0180","BS Line 0180: Long-Term Lease Receivables","accounts","base.uz","Balans 0180-satr: Ijara boʻyicha uzoq muddatli debitorlik qarzlar","Баланс, стр. 0180: Долгосрочная дебиторская задолженность по аренде"
"account_tag_bs_0190","BS Line 0190: Long-Term Contract Assets (Customers)","accounts","base.uz","Balans 0190-satr: Xaridorlar bilan shartnomalar boʻyicha uzoq muddatli aktiv","Баланс, стр. 0190: Долгосрочные активы по договорам с покупателями"
"account_tag_bs_0200","BS Line 0200: Deferred Tax Assets","accounts","base.uz","Balans 0200-satr: Kechiktirilgan soliq aktivlari","Баланс, стр. 0200: Отложенные налоговые активы"
"account_tag_bs_0210","BS Line 0210: Investments in Subsidiaries","accounts","base.uz","Balans 0210-satr: Shoʻba tashkilotlarga investitsiyalar","Баланс, стр. 0210: Инвестиции в дочерние компании"
"account_tag_bs_0220","BS Line 0220: Investments in Associates & Joint Ventures","accounts","base.uz","Balans 0220-satr: Taʼsir ostidagi tashkilotlar va qoʻshma korxonalarga investitsiyalar","Баланс, стр. 0220: Инвестиции в ассоциированные компании и совместные предприятия"
"account_tag_bs_0230","BS Line 0230: Long-Term Financial Assets at Amortized Cost","accounts","base.uz","Balans 0230-satr: Amortizatsiyalangan qiymat boʻyicha baholanadigan uzoq muddatli moliyaviy aktivlar","Баланс, стр. 0230: Долгосрочные финансовые активы, оцениваемые по амортизированной стоимости"
"account_tag_bs_0240","BS Line 0240: Long-Term Financial Assets at Fair Value through OCI","accounts","base.uz","Balans 0240-satr: Boshqa umumlashgan daromad orqali haqqoniy qiymatda baholanadigan uzoq muddatli moliyaviy aktivlar","Баланс, стр. 0240: Долгосрочные финансовые активы, оцениваемые по справедливой стоимости через прочий совокупный доход"
"account_tag_bs_0250","BS Line 0250: Long-Term Financial Assets at Fair Value through P&L","accounts","base.uz","Balans 0250-satr: Foyda yoki zarar orqali haqqoniy qiymatda baholanadigan uzoq muddatli moliyaviy aktivlar","Баланс, стр. 0250: Долгосрочные финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток"
"account_tag_bs_0260","BS Line 0260: Other Long-Term Financial Assets","accounts","base.uz","Balans 0260-satr: Boshqa uzoq muddatli moliyaviy aktivlar","Баланс, стр. 0260: Прочие долгосрочные финансовые активы"
"account_tag_bs_0270","BS Line 0270: Other Non-Current Assets","accounts","base.uz","Balans 0270-satr: Boshqa uzoq muddatli aktivlar","Баланс, стр. 0270: Прочие долгосрочные активы"
"account_tag_bs_0310","BS Line 0310: Inventories","accounts","base.uz","Balans 0310-satr: Zaxiralar","Баланс, стр. 0310: Запасы"
"account_tag_bs_0320","BS Line 0320: Short-Term Biological Assets","accounts","base.uz","Balans 0320-satr: Qisqa muddatli biologik aktivlar","Баланс, стр. 0320: Краткосрочные биологические активы"
"account_tag_bs_0330","BS Line 0330: Trade & Other Short-Term Receivables","accounts","base.uz","Balans 0330-satr: Savdo va boshqa qisqa muddatli debitor qarzlar","Баланс, стр. 0330: Торговая и прочая краткосрочная дебиторская задолженность"
"account_tag_bs_0340","BS Line 0340: Short-Term Lease Receivables","accounts","base.uz","Balans 0340-satr: Ijara boʻyicha qisqa muddatli debitorlik qarzlar","Баланс, стр. 0340: Краткосрочная дебиторская задолженность по аренде"
"account_tag_bs_0350","BS Line 0350: Short-Term Contract Assets (Customers)","accounts","base.uz","Balans 0350-satr: Xaridorlar bilan shartnomalar boʻyicha qisqa muddatli aktiv","Баланс, стр. 0350: Краткосрочные активы по договорам с покупателями"
"account_tag_bs_0360","BS Line 0360: Prepayments (Advances)","accounts","base.uz","Balans 0360-satr: Oldindan toʻlovlar (boʻnaklar)","Баланс, стр. 0360: Предоплаты (авансы)"
"account_tag_bs_0370","BS Line 0370: Current Tax Assets (Income Tax)","accounts","base.uz","Balans 0370-satr: Foyda soligʻi boʻyicha joriy aktivlar","Баланс, стр. 0370: Текущие налоговые активы (налог на прибыль)"
"account_tag_bs_0380","BS Line 0380: Current Tax Assets (Other Taxes & Levies)","accounts","base.uz","Balans 0380-satr: Boshqa soliqlar va yigʻimlar boʻyicha joriy aktivlar","Баланс, стр. 0380: Текущие налоговые активы (прочие налоги и сборы)"
"account_tag_bs_0390","BS Line 0390: Short-Term Financial Assets at Amortized Cost","accounts","base.uz","Balans 0390-satr: Amortizatsiyalangan qiymat boʻyicha baholanadigan qisqa muddatli moliyaviy aktivlar","Баланс, стр. 0390: Краткосрочные финансовые активы, оцениваемые по амортизированной стоимости"
"account_tag_bs_0400","BS Line 0400: Short-Term Financial Assets at Fair Value through OCI","accounts","base.uz","Balans 0400-satr: Boshqa umumlashgan daromad orqali haqqoniy qiymatda baholanadigan qisqa muddatli moliyaviy aktivlar","Баланс, стр. 0400: Краткосрочные финансовые активы, оцениваемые по справедливой стоимости через прочий совокупный доход"
"account_tag_bs_0410","BS Line 0410: Short-Term Financial Assets at Fair Value through P&L","accounts","base.uz","Balans 0410-satr: Foyda yoki zarar orqali haqqoniy qiymatda baholanadigan qisqa muddatli moliyaviy aktivlar","Баланс, стр. 0410: Краткосрочные финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток"
"account_tag_bs_0420","BS Line 0420: Other Short-Term Financial Assets","accounts","base.uz","Balans 0420-satr: Boshqa qisqa muddatli moliyaviy aktivlar","Баланс, стр. 0420: Прочие краткосрочные финансовые активы"
"account_tag_bs_0430","BS Line 0430: Cash & Cash Equivalents","accounts","base.uz","Balans 0430-satr: Pul mablagʻlari va uning ekvivalentlari","Баланс, стр. 0430: Денежные средства и их эквиваленты"
